,Date,Title,Link,Headline,Article,Source
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","""We see an improvement in the number of drills in the operation to close at 681,000 barrels per day,"" added Bayón.",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","Accumulated operation of the year First of all, this October 28, Bayón will have its traditional phone call to share additional doubts with the market and the company's shareholders",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","At the moment, and according to what was explained in the press conference on October 27, there is no talk of a new dividend proposal at the moment",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","Therefore, before getting to that topic, the company awaits the consolidated result of the entire 2020 operation.",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","Until now, when reviewing the activities from January to September 2020, sales in these months were $35.8 billion, this reflects an impact due to the global crisis in crude oil prices and demand for it with an annual decline. 31.4%, since we must remember that a year ago the total amount achieved by that date in 2019 was $52.2 billion",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","In the current year's profits, these closed at just over $1 billion, which compared to the $9.2 billion that the year had been registered in the first nine months of 2019, this is equivalent to a drop of 89%",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","Even so, the company highlighted that it is one of the few companies in the oil sector that has been able to report profits in the midst of the crisis.",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","In terms of profits, ""this profit allows us to be above $1 billion, good news, a path of recovery,"" said Felipe Bayón, president of Ecopetrol, during the presentation of the report.",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion",Still waiting for fracking The executive also recalled that up to now it is not clear what schedule they would follow regarding the unconventional pilots.,La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","He precisely explained that ""the idea is that at the end of November the contracts with the ANH will be signed, the framework of reference we announced a few months ago this intention to work with ExxonMobil, with Ecopetrol as operator",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion",So the team is working on all of that.,La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion","The most important thing is that we have the opportunity to do this from science, to operate inside a fish tank 'the fish tank must be clean', the fish tank is glass you can see inside",La República
929,2020-10-27 00:00:00,"Ecopetrol's profits fell 71.6% in the third quarter and closed at $855,000 million",https://www.larepublica.co/redirect/post/3080869,"The oil company reported that so far this year, profits attributable to shareholders fell 89% to $1 billion",That's what we want,La República
