,Date,Title,Link,Headline,Article,Source
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","Nationalizing Ecopetrol would cost the country $15 billion, and eliminating 4 x 1000, another $8 billion, according to calculations by the National Government",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","These two demands, included in the Strike Committee's specifications, are part of the group of points that Diego Molano, coordinator of the Great National Conversation (GCN), considers politically and fiscally unviable, and which add up to 19% of the total.",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","RELATED ARTICLEThe requests of the National Strike Committee for negotiation with the GovernmentThe above is one of the conclusions that the analysis made by the Government of the aforementioned document would have yielded, the results of which would be discussed this week in a new meeting to which they would be called, later More than a month after the talks ceased, representatives of the protesters",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","“6% of the requests are not competent because they belong to other branches of public power, such as the release of prisoners.”",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","Others are politically unviable, such as negotiating with the ELN, and others from the point of view of the State model, such as eliminating intermediaries to provide public and health services.",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","Another 65% of the points we believe that the Government is already addressing, and 10% we believe can be addressed with a methodology that we will show you at the meeting,” explained Molano.",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","THE CONTRASTSDiego MolanoCoordinator of the Great National Conversation.“There are already results, such as an article in the Growth Law to give incentives to companies that create jobs, which was approved and will be regulated soon.”Nelson AlarcónPresident of Fecode“We are not we believe they will provide a solution",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.",What they did was generate a sophistry of distraction to calm the people and not provide concrete and substantive solutions.”,La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","But the discussion would not stop there, since November the president promoted the participation of citizens in the GCN tables, in which despite the fact that the unemployment committee refused to integrate, from the Government's point of view, everything is part from the same package",La República
1110,2020-01-27 00:00:00,Almost 20% of the proposals defined by the unemployment committee are fiscally unviable,https://www.larepublica.co/redirect/post/2956270,"More than a month after the last meeting, the strike committee would be called by the government delegation to analyze the 104 demands made in December.","In fact, on the GCN web platform, there are more than 12,000 comments registered, which are expected to be transformed into bills or public policies on March 15.",La República
