,Date,Title,Link,Headline,Article,Source
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"The president said that Alberto Merlano has all the experience at Ecopetrol to be a member of the governing body RELATED ARTICLE Ecopetrol completed the maintenance of the Cupiagua gas plant in Casanare The president, Gustavo Petro, confirmed that Alberto Merlano would be one of the candidates to be new member of the Board of Directors of Ecopetrol, through a publication on social networks",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"""With all the respect that La Silla Vacía deserves, Mr. Alberto Merlano is not related to Verónica Alcocer, just as Noel Petro is not related to me.",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"Make opposition but try to do it judiciously,"" the President published on his X account.",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"The president cited a publication from La Silla Vacía, where he half assured him that Merlano was the uncle of the first lady, Verónica Alcocer.",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"""Alberto Merlano has all the experience at Ecopetrol to be an excellent member of the Board of Directors and I will insist that he be so,"" said the President.",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"RELATED ARTICLEEcopetrol clarified that tests are still missing in the Arauca-8 well to see potential. At the Extraordinary Assembly on January 10, changes were approved in the requirements for the entry of new members into the governing body",La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,The experience to be selected for the Board was reduced from 15 years to 12 years and a minimum of 30% of the total was stipulated for the female quota,La República
0,2024-01-18 00:00:00,President Petro confirmed one of the candidates for the Board of Directors of Ecopetrol,https://www.larepublica.co/economia/presidente-petro-confirmo-uno-de-los-candidatos-para-la-junta-directiva-de-ecopetrol-3783368,The president said that Alberto Merlano has all the experience in Ecopetrol to be a member of the governing body,"The media cited by the President had assured that the profiles of Guillermo García Realpe, Alberto Merlano and José Orlando Rodríguez Guerrero had not passed the review filter to be part of the Board.",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","The energy company assured that when the comprehensive study on the production potential is completed, the formal notice will be given RELATED ARTICLEEcopetrol completed the maintenance of the Cupiagua gas plant in CasanareThe Ministry of Mines and Energy congratulated Ecopetrol and Parex this Tuesday ""for the well Arauca-8 exploratory project in the municipality of Saravena, with a gas production of 9 million cubic feet per day and 6,000 barrels of oil per day, discovered under the Arauca Agreement""",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","RELATED ARTICLEThe requirements to enter the Board of Directors in the Ecopetrol Assembly are relaxedHowever, at the end of Wednesday afternoon, Ecopetrol published a statement in which it assured that to determine the materiality of the discovery it is still necessary to complete the analysis and evaluation tests",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","RELATED ARTICLEEcopetrol plans to generate up to 3,000 megawatts of clean energy by 2030. The company led by Ricardo Roa reported that once the comprehensive study on the production potential of this well is completed, ""formal notification of the discovery will be given to the National Hydrocarbons Agency, within the deadlines and subject to the requirements contractually provided for in the Arauca agreement, of which Ecopetrol is the owner.""",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","Several media outlets published the news on behalf of the Ministry's congratulations, but the country's largest energy company made reference to this statement, citing ""the information published by some media outlets regarding the Arauca 8 well,"" to clarify the fact.",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","The Ministry of Mines publication cited a consolidated statement from Parex, in which the company announced ""positive test results at its Arauca-8 exploration well (50% interest) and provide its estimated average production for the entire year and the fourth quarter of 2023""",La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.",We congratulate @ParexResources and @Ecopetrol_SA for the Arauca-8 exploratory well in Mnpio,La República
1,2024-01-17 00:00:00,Ecopetrol clarified that tests are still missing in the Arauca-8 well to see potential,https://www.larepublica.co/economia/ecopetrol-aclaro-que-todavia-faltan-pruebas-en-el-pozo-arauca-8-con-parex-3782958,"The energy company assured that when the comprehensive study on production potential is completed, formal notice will be given.","of Saravena, with a gas production of 9 million cubic feet/day and 6,000 barrels of oil/day, discovered under the Arauca Agreement",La República
