,Date,Title,Link,Headline,Article,Source
729,2021-10-05 00:00:00,"Gas production increased 4% to total 1,061 million cubic feet per day",https://www.larepublica.co/redirect/post/3242897,"The increase is compared to August 2020. However, compared to July 2021, a drop of 5.4% was recorded due to the closure of Cupiagua","The increase in production occurred mainly in the Caño Limón, Rex Ne (Arauquita, Arauca), Akacías (Guamal, Meta), Costayaco (Villa Garzón, Putumayo), Castilla Norte (Acacías, Meta), Quifa (Puerto Gaitán, Meta), Caño Yarumal (Arauca, Arauca) and Tigana (Tauramena, Casanare)",La República
729,2021-10-05 00:00:00,"Gas production increased 4% to total 1,061 million cubic feet per day",https://www.larepublica.co/redirect/post/3242897,"The increase is compared to August 2020. However, compared to July 2021, a drop of 5.4% was recorded due to the closure of Cupiagua","Thus, in the first eight months of 2021, the average oil production reached 732,343 average barrels per day, which shows a reduction of 7.8% compared to the same period in 2020, when there was a production of 794,330 barrels per day.",La República
729,2021-10-05 00:00:00,"Gas production increased 4% to total 1,061 million cubic feet per day",https://www.larepublica.co/redirect/post/3242897,"The increase is compared to August 2020. However, compared to July 2021, a drop of 5.4% was recorded due to the closure of Cupiagua","Finally, during August 2021, the drilling of four exploratory wells and 40 development wells began in Colombia, for a total so far this year of 22 exploratory wells and 260 development wells.",La República
729,2021-10-05 00:00:00,"Gas production increased 4% to total 1,061 million cubic feet per day",https://www.larepublica.co/redirect/post/3242897,"The increase is compared to August 2020. However, compared to July 2021, a drop of 5.4% was recorded due to the closure of Cupiagua","Additionally, during this month, 23.09 kilometers of equivalent 2D seismic were acquired, for a total of 929 kilometers for the year.",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation","Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation. The stock brokerage firm, Davivienda Corredores, updated its target price for Ecopetrol, maintaining the recommendation to overweight and incorporate the stock into the portfolio. of Top Picks, recognizing that the current share price underestimates the fair value of the company that arises from the recovery in the price of oil and the high levels of the exchange rate",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation","According to the firm, this decision is supported by the value that has been generated from the profound operational transformation, which has been reflected in a broad expansion in profitability margins, added to the high dividend return given the cash needs of its shareholder. majority and the record level of profit generation in 2021",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation","Likewise, the potential derived from the purchase of Intercambio Eléctrica S.A. has been decisive.",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation","""We increased our estimates for revenue, Ebitda and net profit as a result of the upward shift in the Brent price curve (reference for Ecopetrol), the increase in profitability margins and the prospect of a recovery in production in Colombia, considering that the public order problems during May and June already seem to be overcome and to specific operational factors such as maintenance issues in Castilla since the beginning of the year,"" the document reads.",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation","Specialists estimate that with higher Brent prices, understanding the current exchange rate levels, the company will be able to surpass the 2019 figures and financial indicators without much difficulty; that is, exceeding the results seen before the start of the pandemic",La República
730,2021-10-05 00:00:00,"Davivienda Corredores raises its target price of Ecopetrol shares to $3,300",https://www.larepublica.co/redirect/post/3242756,"Although the purchase of ISA was closed, the expectation for a share issuance process remains in force and limits its valuation",Stock performance has lost some correlation with Brent,La República
